model,model_label_zh,fill_mode,all_in_fee_bps_per_side,brokerage_bps_per_side_after_official_fees,net_pnl_hkd,profitable_days,test_days
as_drift_kill_switch,AS + drift kill switch,touch,1.27,0.0,57503.75808541947,18,19
as_drift_kill_switch,AS + drift kill switch,touch,1.5,0.22999999999999998,49966.05297838437,16,19
as_drift_kill_switch,AS + drift kill switch,touch,1.75,0.48,41772.89525334622,14,19
as_drift_kill_switch,AS + drift kill switch,touch,1.9,0.6299999999999999,36857.000618323334,13,19
as_drift_kill_switch,AS + drift kill switch,touch,2.0,0.73,33579.73752830808,13,19
as_drift_kill_switch,AS + drift kill switch,touch,2.25,0.98,25386.579803269924,13,19
as_drift_kill_switch,AS + drift kill switch,touch,2.5,1.23,17193.422078231786,12,19
as_drift_kill_switch,AS + drift kill switch,touch,2.77,1.5,8344.811735190582,11,19
as_drift_kill_switch,AS + drift kill switch,touch,3.0,1.73,807.1066281554813,8,19
as_drift_kill_switch,AS + drift kill switch,touch,3.25,1.98,-7386.051096882657,6,19
gp_style_discrete,GP-style,through,0.0,-1.27,-65121.99938964849,2,19
gp_style_discrete,GP-style,through,1.27,0.0,-117937.09441997018,1,19
gp_style_discrete,GP-style,through,1.5,0.22999999999999998,-127502.03289002844,1,19
gp_style_discrete,GP-style,through,1.75,0.48,-137898.70514009177,1,19
gp_style_discrete,GP-style,through,1.9,0.6299999999999999,-144136.70849012973,1,19
gp_style_discrete,GP-style,through,2.0,0.73,-148295.37739015507,1,19
gp_style_discrete,GP-style,through,2.25,0.98,-158692.0496402184,1,19
gp_style_discrete,GP-style,through,2.5,1.23,-169088.72189028174,0,19
gp_style_discrete,GP-style,through,2.77,1.5,-180317.12792035012,0,19
gp_style_discrete,GP-style,through,3.0,1.73,-189882.06639040838,0,19
gp_style_discrete,GP-style,through,3.25,1.98,-200278.7386404717,0,19
gp_style_discrete,GP-style,touch,0.0,-1.27,31902.999450683572,17,19
gp_style_discrete,GP-style,touch,1.27,0.0,-41314.14532655673,7,19
gp_style_discrete,GP-style,touch,1.5,0.22999999999999998,-54573.943199600246,5,19
gp_style_discrete,GP-style,touch,1.75,0.48,-68986.76697464753,4,19
gp_style_discrete,GP-style,touch,1.9,0.6299999999999999,-77634.46123967593,4,19
gp_style_discrete,GP-style,touch,2.0,0.73,-83399.59074969485,4,19
gp_style_discrete,GP-style,touch,2.25,0.98,-97812.41452474214,4,19
gp_style_discrete,GP-style,touch,2.5,1.23,-112225.23829978946,4,19
gp_style_discrete,GP-style,touch,2.77,1.5,-127791.08797684056,3,19
gp_style_discrete,GP-style,touch,3.0,1.73,-141050.88584988407,1,19
gp_style_discrete,GP-style,touch,3.25,1.98,-155463.70962493136,0,19
forced_drift_inventory,强制 drift + 库存,through,0.0,-1.27,-43342.0022125244,4,19
forced_drift_inventory,强制 drift + 库存,through,1.27,0.0,-99752.9330788829,2,19
forced_drift_inventory,强制 drift + 库存,through,1.5,0.22999999999999998,-109969.08591294783,2,19
forced_drift_inventory,强制 drift + 库存,through,1.75,0.48,-121073.5998630184,2,19
forced_drift_inventory,强制 drift + 库存,through,1.9,0.6299999999999999,-127736.30823306074,2,19
forced_drift_inventory,强制 drift + 库存,through,2.0,0.73,-132178.11381308897,2,19
forced_drift_inventory,强制 drift + 库存,through,2.25,0.98,-143282.62776315954,1,19
forced_drift_inventory,强制 drift + 库存,through,2.5,1.23,-154387.1417132301,1,19
forced_drift_inventory,强制 drift + 库存,through,2.77,1.5,-166380.01677930634,1,19
forced_drift_inventory,强制 drift + 库存,through,3.0,1.73,-176596.16961337125,0,19
forced_drift_inventory,强制 drift + 库存,through,3.25,1.98,-187700.68356344185,0,19
forced_drift_inventory,强制 drift + 库存,touch,0.0,-1.27,57771.99746704097,15,19
