date,fill_mode,direction_accuracy,direction_macro_f1,drift_slope_ticks,directional_net_pnl_hkd,directional_gross_pnl_hkd,directional_maker_fills,classic_as_net_pnl_hkd,classic_as_gross_pnl_hkd,classic_as_maker_fills,gp_style_discrete_net_pnl_hkd,gp_style_discrete_gross_pnl_hkd,gp_style_discrete_maker_fills,paired_no_signal_net_pnl_hkd,paired_no_signal_gross_pnl_hkd,paired_no_signal_maker_fills
2026-07-07,through,0.5851425564799895,0.5545651151265673,0.8172323717289416,-14472.83192443811,468.0018310546875,5951,13314.89688109125,17088.00030517578,1507,-17508.93573963501,-2203.998779296875,6106,-17508.93573963501,-2203.998779296875,6106
2026-07-07,touch,0.5851425564799895,0.5545651151265673,0.8172323717289416,-11326.532866438094,5882.0018310546875,6855,14728.030453999992,19418.0,1874,-10516.637949635031,9082.001220703125,7820,-10516.637949635031,9082.001220703125,7820
2026-07-09,through,0.5884079831461374,0.5825803881303325,0.32137767386244553,-22811.777764000042,-8276.0,5921,-5016.705050109499,1151.9996337890625,2504,-22036.97575352741,-8890.000091552734,5361,-25589.92166752741,-11268.000091552734,5841
2026-07-09,touch,0.5884079831461374,0.5825803881303325,0.32137767386244553,-18077.567023999945,528.0,7577,-6874.636414000006,1662.0,3475,-17267.60716952742,205.99990844726562,7127,-19849.300445054767,-902.0001831054688,7728
2026-07-15,through,0.6085416833080385,0.6080525954681179,0.2919541316567181,-8252.819980000011,-1052.0000000000155,3384,1537.4265620000192,5082.000000000015,1668,-7983.482131927026,-1735.999755859404,2937,-7983.482131927026,-1735.999755859404,2937
2026-07-15,touch,0.6085416833080385,0.6080525954681179,0.2919541316567181,-5228.196323854056,5164.000488281228,4882,2972.612211999992,7903.999999999993,2320,-6641.033985854021,2662.000488281228,4370,-6641.033985854021,2662.000488281228,4370
2026-07-20,through,0.5989233228683141,0.5748246654125951,0.2814437472721967,-6920.780728734276,-2262.000274658203,3198,68.28880199999912,2622.0,1754,-6082.702126472617,-2213.9999084472656,2657,-6082.702126472617,-2213.9999084472656,2657
2026-07-20,touch,0.5989233228683141,0.5748246654125951,0.2814437472721967,-2689.981248101415,3931.9995880126953,4545,1601.497562632865,5171.999862670898,2451,-3380.881952734273,2261.999725341797,3874,-3380.881952734273,2261.999725341797,3874
2026-07-21,through,0.5832247453981909,0.5888232835820745,0.21829620619029474,-4725.930612835715,-1670.0006866455078,1937,-491.57027800000014,850.0,852,-3254.48976136715,-628.0001373291016,1667,-3494.307022472635,-785.9999084472656,1719
2026-07-21,touch,0.5832247453981909,0.5888232835820745,0.21829620619029474,-2454.369978101424,2197.9995880126953,2953,530.60207463286,2727.9998626708984,1395,-2175.3181041014286,2063.9995880126953,2689,-2227.419640734296,2149.999725341797,2778
2026-07-23,through,0.5901416887737014,0.5886398864193761,0.160969317753991,-4768.370467800185,-1784.0001678466797,1815,-1848.1373679999986,-296.0,944,-5721.625175600373,-3004.0003356933594,1650,-5721.625175600373,-3004.0003356933594,1650
2026-07-23,touch,0.5901416887737014,0.5886398864193761,0.160969317753991,-2872.511529600377,2081.9996643066406,3012,-1235.1887720000004,1392.0,1598,-4230.695485600373,205.99966430664062,2696,-4230.695485600373,205.99966430664062,2696
2026-07-27,through,0.5965155280346546,0.5676476660332798,0.15022083494696237,-5509.080774545622,-2878.0001525878906,1852,-2595.5283182728153,-850.0000762939453,1231,-3544.5598888184386,-1332.000228881836,1557,-3544.5598888184386,-1332.000228881836,1557
2026-07-27,touch,0.5965155280346546,0.5676476660332798,0.15022083494696237,-3539.5623025260197,487.9999694824219,2832,-1511.5685260000005,1218.0,1924,-2942.050958818427,629.9997711181641,2511,-2942.050958818427,629.9997711181641,2511
2026-07-28,through,0.5911575248877611,0.5760456252855748,0.11052711307224825,-1250.4578873671437,757.9998626708984,1799,514.0842364218997,2179.9999084472565,1492,-618.5199433671407,1241.9998626709003,1665,-618.5199433671407,1241.9998626709003,1665
2026-07-28,touch,0.5911575248877611,0.5760456252855748,0.11052711307224825,1421.6315484218953,4839.999908447262,3072,2209.9822962109606,4889.99995422364,2405,685.6601784219129,3857.999908447273,2848,685.6601784219129,3857.999908447273,2848
2026-07-29,through,0.619295314202688,0.5576691897265323,0.09020371586154528,-3977.954695291069,-1226.0001373291052,3231,-3538.500873999993,-1009.9999999999964,2970,-3789.5177132910617,-1116.0001373291016,3141,-3789.5177132910617,-1116.0001373291016,3141
2026-07-29,touch,0.619295314202688,0.5576691897265323,0.09020371586154528,1093.5493374178714,5507.999725341788,5184,354.299116126821,4391.9995880127,4737,530.3475661268176,4797.999588012698,5011,530.3475661268176,4797.999588012698,5011
2026-07-30,through,0.6138805633708747,0.5199121297868553,0.0734541989177952,-3755.3149820000117,-1734.0000000000055,2502,-2973.821416981751,-1325.99993896484,2032,-3558.808488981751,-1793.9999389648383,2180,-3558.808488981751,-1793.9999389648383,2180
2026-07-30,touch,0.6138805633708747,0.5199121297868553,0.0734541989177952,396.9770939999803,3769.999999999989,4194,104.1326680000061,3012.0000000000073,3608,-158.5204899999958,2898.0000000000036,3792,-158.5204899999958,2898.0000000000036,3792
