date,fill_mode,alpha_enabled,classification_accuracy,calibrator_slope_ticks,classic_as_net_pnl_hkd,classic_as_maker_fills,as_drift_unit_net_pnl_hkd,as_drift_unit_maker_fills,as_drift_net_pnl_hkd,as_drift_maker_fills,paired_as_no_drift_net_pnl_hkd,paired_as_no_drift_maker_fills,as_drift_kill_switch_net_pnl_hkd,as_drift_kill_switch_maker_fills
2026-07-07,through,True,0.5851425564799895,0.8172323717289416,13314.89688109125,1507,13029.289292000005,1544,5274.581651249499,3080,10511.418047273739,1103,5274.581651249499,3080
2026-07-07,touch,True,0.5851425564799895,0.8172323717289416,14728.030453999992,1874,14446.385130312376,1907,5639.555351561879,3637,12187.320384182489,1410,5639.555351561879,3637
2026-07-09,through,False,0.5884079831461374,0.32137767386244553,-5016.705050109499,2504,-4869.753070109496,2492,-3135.313124000011,2749,-3079.9506200000096,2700,-5016.705050109499,2504
2026-07-09,touch,False,0.5884079831461374,0.32137767386244553,-6874.636414000006,3475,-6487.451182000013,3485,-1376.4088780000184,3754,-1223.4547500000317,3680,-6874.636414000006,3475
2026-07-15,through,True,0.6085416833080385,0.2919541316567181,1537.4265620000192,1668,1674.9640280000062,1634,1674.9640280000062,1634,1537.4265620000192,1668,1674.9640280000062,1634
2026-07-15,touch,True,0.6085416833080385,0.2919541316567181,2972.612211999992,2320,3318.8370400000013,2266,3318.8370400000013,2266,2972.612211999992,2320,3318.8370400000013,2266
2026-07-20,through,False,0.5989233228683141,0.2814437472721967,68.28880199999912,1754,250.07759399999895,1764,100.03234600000314,1768,68.28880199999912,1754,68.28880199999912,1754
2026-07-20,touch,False,0.5989233228683141,0.2814437472721967,1601.497562632865,2451,1588.2590726328608,2445,1634.484762632862,2475,1601.497562632865,2451,1601.497562632865,2451
2026-07-21,through,False,0.5832247453981909,0.21829620619029474,-491.57027800000014,852,-641.1046740000002,904,-477.1592840000003,862,-491.57027800000014,852,-491.57027800000014,852
2026-07-21,touch,False,0.5832247453981909,0.21829620619029474,530.60207463286,1395,384.01284863285764,1459,516.8856486328586,1405,530.60207463286,1395,530.60207463286,1395
2026-07-23,through,True,0.5901416887737014,0.160969317753991,-1848.1373679999986,944,-1989.0618700000002,992,-1927.865307999999,956,-1848.1373679999986,944,-1927.865307999999,956
2026-07-23,touch,True,0.5901416887737014,0.160969317753991,-1235.1887720000004,1598,-1310.8751720000023,1666,-1209.215692000003,1614,-1235.1887720000004,1598,-1209.215692000003,1614
2026-07-27,through,True,0.5965155280346546,0.15022083494696237,-2595.5283182728153,1231,-2698.6716082728144,1249,-2587.531642272815,1231,-2595.5283182728153,1231,-2587.531642272815,1231
2026-07-27,touch,True,0.5965155280346546,0.15022083494696237,-1511.5685260000005,1924,-1518.2741700000006,1954,-1511.5685260000005,1924,-1511.5685260000005,1924,-1511.5685260000005,1924
2026-07-28,through,False,0.5911575248877611,0.11052711307224825,514.0842364218997,1492,501.595234421902,1498,508.0858984218996,1492,514.0842364218997,1492,514.0842364218997,1492
2026-07-28,touch,False,0.5911575248877611,0.11052711307224825,2209.9822962109606,2405,2201.3985002109575,2409,2205.983404210961,2405,2209.9822962109606,2405,2209.9822962109606,2405
2026-07-29,through,False,0.619295314202688,0.09020371586154528,-3538.500873999993,2970,-3538.500873999993,2970,-3538.500873999993,2970,-3538.500873999993,2970,-3538.500873999993,2970
2026-07-29,touch,False,0.619295314202688,0.09020371586154528,354.299116126821,4737,354.299116126821,4737,354.299116126821,4737,354.299116126821,4737,354.299116126821,4737
2026-07-30,through,False,0.6138805633708747,0.0734541989177952,-2973.821416981751,2032,-2988.6532389817517,2068,-2973.821416981751,2032,-2973.821416981751,2032,-2973.821416981751,2032
2026-07-30,touch,False,0.6138805633708747,0.0734541989177952,104.1326680000061,3608,86.71155600000657,3674,104.1326680000061,3608,104.1326680000061,3608,104.1326680000061,3608
